2018-10-08,AFCF1711ICT,TUE 09-10-2018,13:45 - 14:45,NEW CAMPUS,E-08-07,AAPP002-3-C-EBA-L,MARY TING
2018-10-08,AFCF1711ICT,WED 10-10-2018,08:30 - 10:30,NEW CAMPUS,E-08-05,AAQS007-3-C-EWP-L,RUTHIRA NAIR A/P A.B. KRISHENAN
2018-10-08,AFCF1711ICT,WED 10-10-2018,10:35 - 12:35,NEW CAMPUS,D-09-05,AICT004-3-C-ICA-L,NOR AFIFAH BINTI SABRI
2018-10-08,AFCF1711ICT,WED 10-10-2018,13:45 - 14:45,NEW CAMPUS,D-09-06,AAPP003-3-C-FVP-L,LEONG SWEE KEE
2018-10-08,AFCF1711ICT,WED 10-10-2018,16:00 - 17:00,NEW CAMPUS,D-09-05,AICT002-3-C-WCM-T,SHOUNAK GHOSH
2018-10-08,AFCF1711ICT,THU 11-10-2018,10:35 - 12:35,NEW CAMPUS,E-08-08,AICT002-3-C-WCM-L,SHOUNAK GHOSH
2018-10-08,AFCF1711ICT,THU 11-10-2018,13:45 - 14:45,NEW CAMPUS,Tech Lab 6-15,AAPP002-3-C-EBA-LAB,MARY TING
2018-10-08,AFCF1711ICT,THU 11-10-2018,14:45 - 15:45,NEW CAMPUS,Tech Lab 6-15,AAPP002-3-C-EBA-T,MARY TING
2018-10-08,AFCF1711ICT,THU 11-10-2018,16:00 - 17:00,NEW CAMPUS,E-08-05,AAQS007-3-C-EWP-T,RUTHIRA NAIR A/P A.B. KRISHENAN
2018-10-08,AFCF1801AS,MON 08-10-2018,08:30 - 10:30,NEW CAMPUS,D-06-06,ABUS002-3-C-OAS-T,RUTHIRA NAIR A/P A.B. KRISHENAN
2018-10-08,AFCF1801AS,MON 08-10-2018,12:40 - 13:40,NEW CAMPUS,D-07-08,ABUS007-3-C-CSS-L,MUHAMMAD MA'WA BIN ABDUL AZIZ
2018-10-08,AFCF1801AS,MON 08-10-2018,13:45 - 14:45,NEW CAMPUS,Tech Lab 4-04,AINT001-3-C-IMA-T,T TULASI SATHYABAMA A/P APPALASAMY
2018-10-08,AFCF1801AS,MON 08-10-2018,14:45 - 15:45,NEW CAMPUS,Tech Lab 4-04,AINT001-3-C-IMA-LAB,T TULASI SATHYABAMA A/P APPALASAMY
2018-10-08,AFCF1801AS,TUE 09-10-2018,08:30 - 09:30,NEW CAMPUS,Tech Lab 4-04,AAQS003-3-C-ISTAT-T,LOW KOK SUN
2018-10-08,AFCF1801AS,TUE 09-10-2018,09:30 - 10:30,NEW CAMPUS,Tech Lab 4-04,AAQS003-3-C-ISTAT-LAB,LOW KOK SUN
2018-10-08,AFCF1801AS,TUE 09-10-2018,12:40 - 13:40,NEW CAMPUS,B-07-08,AINT001-3-C-IMA-L,T TULASI SATHYABAMA A/P APPALASAMY
2018-10-08,AFCF1801AS,TUE 09-10-2018,13:45 - 15:45,NEW CAMPUS,B-06-07,AAQS002-3-C-BACC-L,MOHAMAD SHAHIMAN BIN MAHDZIR
2018-10-08,AFCF1801AS,WED 10-10-2018,10:35 - 12:35,NEW CAMPUS,D-07-08,ABUS007-3-C-CSS-T,MUHAMMAD MA'WA BIN ABDUL AZIZ
2018-10-08,AFCF1801AS,WED 10-10-2018,12:40 - 13:40,NEW CAMPUS,D-06-06,ABUS002-3-C-OAS-L,RUTHIRA NAIR A/P A.B. KRISHENAN
2018-10-08,AFCF1801AS,THU 11-10-2018,08:30 - 09:30,NEW CAMPUS,B-05-07,AAQS002-3-C-BACC-T,MOHAMAD SHAHIMAN BIN MAHDZIR
2018-10-08,AFCF1801AS,THU 11-10-2018,12:40 - 13:40,NEW CAMPUS,B-07-08,AAQS003-3-C-ISTAT-L,LOW KOK SUN
2018-10-08,AFCF1801ICT,MON 08-10-2018,08:30 - 10:30,NEW CAMPUS,B-05-06,AAPP001-3-C-SADF-T,NIK SAKINAH BINTI NIK AB AZIZ
2018-10-08,AFCF1801ICT,MON 08-10-2018,12:40 - 13:40,NEW CAMPUS,D-07-08,ABUS007-3-C-CSS-L,MUHAMMAD MA'WA BIN ABDUL AZIZ
2018-10-08,AFCF1801ICT,MON 08-10-2018,13:45 - 14:45,NEW CAMPUS,Tech Lab 4-04,AINT001-3-C-IMA-T,T TULASI SATHYABAMA A/P APPALASAMY
2018-10-08,AFCF1801ICT,MON 08-10-2018,14:45 - 15:45,NEW CAMPUS,Tech Lab 4-04,AINT001-3-C-IMA-LAB,T TULASI SATHYABAMA A/P APPALASAMY
2018-10-08,AFCF1801ICT,TUE 09-10-2018,08:30 - 09:30,NEW CAMPUS,Tech Lab 4-04,AAQS003-3-C-ISTAT-T,LOW KOK SUN
2018-10-08,AFCF1801ICT,TUE 09-10-2018,09:30 - 10:30,NEW CAMPUS,Tech Lab 4-04,AAQS003-3-C-ISTAT-LAB,LOW KOK SUN
2018-10-08,AFCF1801ICT,TUE 09-10-2018,12:40 - 13:40,NEW CAMPUS,B-07-08,AINT001-3-C-IMA-L,T TULASI SATHYABAMA A/P APPALASAMY
2018-10-08,AFCF1801ICT,TUE 09-10-2018,13:45 - 15:45,NEW CAMPUS,B-05-09,AENG001-3-C-EFT-T,ANURATHA KANNIAH
2018-10-08,AFCF1801ICT,WED 10-10-2018,08:30 - 09:30,NEW CAMPUS,B-06-09,AENG001-3-C-EFT-L,ANURATHA KANNIAH
2018-10-08,AFCF1801ICT,WED 10-10-2018,10:35 - 12:35,NEW CAMPUS,D-07-08,ABUS007-3-C-CSS-T,MUHAMMAD MA'WA BIN ABDUL AZIZ
2018-10-08,AFCF1801ICT,WED 10-10-2018,12:40 - 13:40,NEW CAMPUS,Tech Lab 4-01,AINT002-3-C-WDT-LAB,DR. SITI AZREENA BINTI MUBIN
2018-10-08,AFCF1801ICT,THU 11-10-2018,12:40 - 13:40,NEW CAMPUS,B-07-08,AAQS003-3-C-ISTAT-L,LOW KOK SUN
2018-10-08,AFCF1801ICT,THU 11-10-2018,13:45 - 15:45,NEW CAMPUS,B-06-09,AINT002-3-C-WDT-L,DR. SITI AZREENA BINTI MUBIN
2018-10-08,AFCF1801ICT,THU 11-10-2018,16:00 - 17:00,NEW CAMPUS,B-05-07,AAPP001-3-C-SADF-L,NIK SAKINAH BINTI NIK AB AZIZ
2018-10-08,AFCF1809AS,MON 08-10-2018,08:30 - 10:30,NEW CAMPUS,D-09-06,ABUS003-3-C-WCS-T,CHOU SOK FONG, RACHEL
2018-10-08,AFCF1809AS,MON 08-10-2018,12:40 - 13:40,NEW CAMPUS,D-08-03,ABUS004-3-C-PS-L,RUTHIRA NAIR A/P A.B. KRISHENAN
2018-10-08,AFCF1809AS,MON 08-10-2018,16:00 - 17:30,NEW CAMPUS,B-07-02,MPU1133-BMK1 (FS),VICKNISHA A/P BALU
2018-10-08,AFCF1809AS,MON 08-10-2018,16:00 - 17:30,NEW CAMPUS,Auditorium 4 @ Level 3,MPU1153-MLY1 (LS),HALIMATON BINTI YUSOF
2018-10-08,AFCF1809AS,TUE 09-10-2018,08:30 - 09:30,NEW CAMPUS,D-08-13,AAQS001-3-C-BMTS-L,NORAIN BINTI ALWI
2018-10-08,AFCF1809AS,TUE 09-10-2018,10:35 - 11:35,NEW CAMPUS,D-09-08,AICT001-3-C-FITS-L,NOOR HAFIZAH BINTI HASSAN
2018-10-08,AFCF1809AS,TUE 09-10-2018,13:45 - 14:45,NEW CAMPUS,D-08-11,ABUS001-3-C-BWS-L,ZAFEENA ANIS BINTI ASNIZAR
2018-10-08,AFCF1809AS,TUE 09-10-2018,16:00 - 18:00,NEW CAMPUS,Tech Lab 6-02,AICT001-3-C-FITS-T,NOOR HAFIZAH BINTI HASSAN
2018-10-08,AFCF1809AS,WED 10-10-2018,08:30 - 10:30,NEW CAMPUS,D-08-11,AAQS001-3-C-BMTS-T,NORAIN BINTI ALWI
2018-10-08,AFCF1809AS,WED 10-10-2018,10:35 - 12:35,NEW CAMPUS,D-08-11,ABUS005-3-C-IMB-T,ROHANI BINTI MOHAMAD HUSAIN
2018-10-08,AFCF1809AS,WED 10-10-2018,16:00 - 17:30,NEW CAMPUS,Auditorium 4 @ Level 3,MPU1153-MLY1 (LS),HALIMATON BINTI YUSOF
2018-10-08,AFCF1809AS,WED 10-10-2018,16:00 - 17:30,NEW CAMPUS,B-07-02,MPU1133-BMK1 (FS),VICKNISHA A/P BALU
2018-10-08,AFCF1809AS,THU 11-10-2018,10:35 - 12:35,NEW CAMPUS,D-08-04,ABUS004-3-C-PS-T,RUTHIRA NAIR A/P A.B. KRISHENAN
